sector                ,industry
Basic Materials       ,Industrial Metals & Minerals
Basic Materials       ,Oil & Gas Drilling & Exploration
Basic Materials       ,Independent Oil & Gas
Basic Materials       ,Gold
Basic Materials       ,Silver
Basic Materials       ,Specialty Chemicals
Basic Materials       ,Oil & Gas Equipment & Services
Basic Materials       ,Nonmetallic Mineral Mining
Basic Materials       ,Oil & Gas Pipelines
Basic Materials       ,Steel & Iron
Basic Materials       ,Chemicals - Major Diversified
Basic Materials       ,Oil & Gas Refining & Marketing
Basic Materials       ,Agricultural Chemicals
Basic Materials       ,Synthetics
Basic Materials       ,Major Integrated Oil & Gas
Basic Materials       ,Copper
Basic Materials       ,Aluminum
Basic Materials       ,\N
Conglomerates         ,Conglomerates
Conglomerates         ,\N
Consumer Goods        ,Auto Parts
Consumer Goods        ,Photographic Equipment & Supplies
Consumer Goods        ,Packaging & Containers
Consumer Goods        ,Beverages - Soft Drinks
Consumer Goods        ,Rubber & Plastics
Consumer Goods        ,Business Equipment
Consumer Goods        ,Toys & Games
Consumer Goods        ,Processed & Packaged Goods
Consumer Goods        ,Meat Products
Consumer Goods        ,"Recreational Goods, Other"
Consumer Goods        ,Cleaning Products
Consumer Goods        ,Food - Major Diversified
Consumer Goods        ,Farm Products
Consumer Goods        ,Recreational Vehicles
Consumer Goods        ,Electronic Equipment
Consumer Goods        ,Appliances
Consumer Goods        ,Auto Manufacturers - Major
Consumer Goods        ,Home Furnishings & Fixtures
Consumer Goods        ,Paper & Paper Products
Consumer Goods        ,Textile - Apparel Clothing
Consumer Goods        ,Trucks & Other Vehicles
Consumer Goods        ,Beverages - Brewers
Consumer Goods        ,Dairy Products
Consumer Goods        ,Textile - Apparel Footwear & Accessories
Consumer Goods        ,Personal Products
Consumer Goods        ,Sporting Goods
Consumer Goods        ,Housewares & Accessories
Consumer Goods        ,Beverages - Wineries & Distillers
Consumer Goods        ,"Tobacco Products, Other"
Consumer Goods        ,Confectioners
Consumer Goods        ,Cigarettes
Consumer Goods        ,Office Supplies
Consumer Goods        ,\N
Financial             ,Savings & Loans
Financial             ,Regional - Mid-Atlantic Banks
Financial             ,Regional - Pacific Banks
Financial             ,Regional - Southeast Banks
Financial             ,Accident & Health Insurance
Financial             ,Asset Management
Financial             ,Surety & Title Insurance
Financial             ,Property & Casualty Insurance
Financial             ,REIT - Hotel/Motel
Financial             ,REIT - Retail
Financial             ,Regional - Northeast Banks
Financial             ,Closed-End Fund - Debt
Financial             ,Money Center Banks
Financial             ,Regional - Southwest  Banks
Financial             ,REIT - Industrial
Financial             ,Regional - Midwest Banks
Financial             ,REIT - Office
Financial             ,Investment Brokerage - National
Financial             ,Diversified Investments
Financial             ,Foreign Money Center Banks
Financial             ,Credit Services
Financial             ,Property Management
Financial             ,REIT - Diversified
Financial             ,REIT - Residential
Financial             ,REIT - Healthcare Facilities
Financial             ,Life Insurance
Financial             ,Insurance Brokers
Financial             ,Mortgage Investment
Financial             ,Closed-End Fund - Equity
Financial             ,Foreign Regional Banks
Financial             ,Investment Brokerage - Regional
Financial             ,Real Estate Development
Financial             ,\N
Healthcare            ,Biotechnology
Healthcare            ,Medical Appliances & Equipment
Healthcare            ,Drugs - Generic
Healthcare            ,Drug Manufacturers - Major
Healthcare            ,Medical Instruments & Supplies
Healthcare            ,Drug Manufacturers - Other
Healthcare            ,Diagnostic Substances
Healthcare            ,Medical Laboratories & Research
Healthcare            ,Health Care Plans
Healthcare            ,Hospitals
Healthcare            ,Drug Related Products
Healthcare            ,Specialized Health Services
Healthcare            ,Drug Delivery
Healthcare            ,Home Health Care
Healthcare            ,Long-Term Care Facilities
Healthcare            ,Medical Practitioners
Healthcare            ,\N
Industrial Goods      ,Aerospace/Defense Products & Services
Industrial Goods      ,Textile Industrial
Industrial Goods      ,Industrial Electrical Equipment
Industrial Goods      ,Metal Fabrication
Industrial Goods      ,Small Tools & Accessories
Industrial Goods      ,Pollution & Treatment Controls
Industrial Goods      ,Diversified Machinery
Industrial Goods      ,Heavy Construction
Industrial Goods      ,Residential Construction
Industrial Goods      ,Industrial Equipment & Components
Industrial Goods      ,General Building Materials
Industrial Goods      ,Aerospace/Defense - Major Diversified
Industrial Goods      ,Waste Management
Industrial Goods      ,Farm & Construction Machinery
Industrial Goods      ,"Lumber, Wood Production"
Industrial Goods      ,Machine Tools & Accessories
Industrial Goods      ,General Contractors
Industrial Goods      ,Manufactured Housing
Industrial Goods      ,Cement
Industrial Goods      ,\N
Other                 ,Other
Other                 ,\N
Services              ,Advertising Agencies
Services              ,Business Services
Services              ,Personal Services
Services              ,Rental & Leasing Services
Services              ,Apparel Stores
Services              ,Technical Services
Services              ,Management Services
Services              ,Medical Equipment Wholesale
Services              ,Shipping
Services              ,"Movie Production, Theaters"
Services              ,Education & Training Services
Services              ,Railroads
Services              ,"Specialty Retail, Other"
Services              ,Sporting Activities
Services              ,Trucking
Services              ,Consumer Services
Services              ,Electronics Wholesale
Services              ,"Air Services, Other"
Services              ,Staffing & Outsourcing Services
Services              ,Broadcasting - Radio
Services              ,CATV Systems
Services              ,Publishing - Books
Services              ,Auto Dealerships
Services              ,Grocery Stores
Services              ,Industrial Equipment Wholesale
Services              ,Resorts & Casinos
Services              ,Marketing Services
Services              ,Publishing - Periodicals
Services              ,Security & Protection Services
Services              ,Publishing - Newspapers
Services              ,Entertainment - Diversified
Services              ,Restaurants
Services              ,Department Stores
Services              ,Lodging
Services              ,Home Improvement Stores
Services              ,Basic Materials Wholesale
Services              ,Air Delivery & Freight Services
Services              ,Food Wholesale
Services              ,Regional Airlines
Services              ,Jewelry Stores
Services              ,General Entertainment
Services              ,Auto Parts Wholesale
Services              ,Drug Stores
Services              ,Home Furnishing Stores
Services              ,Research Services
